lspe_id,nama_daerah,source_year,source_file,date,buyer_name,tender_title,mainprocurementcategory,tender_minvalue,tender_datepublished,tender_status,award_title,award_date,award_value,award_supplier,days_to_award,budget_utilization_ratio,award_month,award_quarter,award_weekday,log_tender_minvalue,log_award_value,value_gap,title_word_count,award_title_word_count,supplier_count,award_value_per_day,same_day_award_flag
127,Jakarta,2015,ocds-data-tender-2015-127.json,2014-12-24,Pemerintah Daerah Provinsi Dki Jakarta,Pengadaan Makanan Binatang/Satwa Tmr (Pakan Kering Dan Tambahan),Goods,1499501895.0,2014-12-08,Complete,Pengadaan Makanan Binatang/Satwa Tmr (Pakan Kering Dan Tambahan),2014-12-24,1157888250.0,Cv. Usaha Selaras,16,0.7721819184496596,12,4,2,21.128398820574013,20.869863709713506,-341613645.0,8,8,1,72368015.625,0
127,Jakarta,2015,ocds-data-tender-2015-127.json,2015-04-15,Pemerintah Daerah Provinsi Dki Jakarta,Penyelenggaraan Kegiatan Asia Golf Tourism Convention (Agtc) Tahun 2015 Di Jakarta (Tuan Rumah),Services,19886068125.0,2015-03-31,Complete,Penyelenggaraan Kegiatan Asia Golf Tourism Convention (Agtc) Tahun 2015 Di Jakarta (Tuan Rumah),2015-04-15,19349990000.0,Pt. Ekspo Kreatif Indo,15,0.9730425279833944,4,2,2,23.71328522932564,23.68595773967788,-536078125.0,13,13,1,1289999333.3333333,0
127,Jakarta,2015,ocds-data-tender-2015-127.json,2015-04-17,Pemerintah Daerah Provinsi Dki Jakarta,"Pengadaan Naskah Soal Ujian Sekolah/ Madrasah Berstandar Daerah (Us/M Bd), Ijazah/Sttb Sd/Sdlb Dan Skhus/ M Bd Tahun Pelajaran 2014/2015",Services,1612679739.0,2015-04-02,Complete,"Pengadaan Naskah Soal Ujian Sekolah/ Madrasah Berstandar Daerah (Us/M Bd), Ijazah/Sttb Sd/Sdlb Dan Skhus/ M Bd Tahun Pelajaran 2014/2015",2015-04-17,1263165520.0,Pt Pura Barutama,15,0.7832711538766346,4,2,4,21.20116306708892,20.956886725568026,-349514219.0,19,19,1,84211034.66666667,0
127,Jakarta,2015,ocds-data-tender-2015-127.json,2015-04-23,Pemerintah Daerah Provinsi Dki Jakarta,Belanja Bahan Pakan Daging/Binatang Hidup,Goods,6271924250.0,2014-12-31,Complete,Belanja Bahan Pakan Daging/Binatang Hidup,2015-04-23,6196783000.0,Cv. Rosadia Petaho,113,0.9880194264144692,4,2,3,22.55934904259378,22.547296123530966,-75141250.0,5,5,1,54838787.61061947,0
127,Jakarta,2015,ocds-data-tender-2015-127.json,2015-04-24,Pemerintah Daerah Provinsi Dki Jakarta,Pengadaan Makanan Binatang/ Satwa Tmr (Buah Dan Sayuran),Goods,9039068875.0,2014-12-30,Complete,Pengadaan Makanan Binatang/ Satwa Tmr (Buah Dan Sayuran),2015-04-24,6867944650.0,Cv. Pangan Indo,115,0.7598066509920249,4,2,4,22.924822005603108,22.650130720980034,-2171124225.0,8,8,1,59721257.82608695,0
127,Jakarta,2015,ocds-data-tender-2015-127.json,2015-05-06,Pemerintah Daerah Provinsi Dki Jakarta,Pengadaan Raport Siswa Sd,Services,1433850000.0,2015-04-06,Complete,Pengadaan Raport Siswa Sd,2015-05-06,986040000.0,Pt Pura Barutama,30,0.687686996547756,5,2,2,21.083628971839577,20.70920748070953,-447810000.0,4,4,1,32868000.0,0
127,Jakarta,2015,ocds-data-tender-2015-127.json,2015-05-18,Pemerintah Daerah Provinsi Jakarta,Pemasangan Pipa Steel Diameter 1200 Mm Jl. Ciputat Raya (Hotel Asri - Komplek Polri),Works,4741584060.0,2015-04-27,Complete,Pemasangan Pipa Steel Diameter 1200 Mm Jl. Ciputat Raya (Hotel Asri - Komplek Polri),2015-05-18,4468749202.5,Pt. Promits,21,0.942459133056053,5,2,0,22.279637106908716,22.220374386168814,-272834857.5,14,14,1,212797581.07142857,0
127,Jakarta,2015,ocds-data-tender-2015-127.json,2015-05-21,Pemerintah Daerah Provinsi Dki Jakarta,Pelaksanaan New Cities Summit 2015 Di Jakarta,Services,14595711900.0,2015-05-13,Complete,Pelaksanaan New Cities Summit 2015 Di Jakarta,2015-05-21,13655220700.0,Pt. Multi Taruna Sejati,8,0.9355638692758796,5,2,3,23.40399361710986,23.33738775439251,-940491200.0,7,7,1,1706902587.5,0
127,Jakarta,2015,ocds-data-tender-2015-127.json,2015-05-21,Pemerintah Daerah Provinsi Dki Jakarta,Penyelenggaraan Jakarta Carnaval (Jakarnaval),Services,9965683750.0,2015-05-13,Complete,Penyelenggaraan Jakarta Carnaval (Jakarnaval),2015-05-21,9169754000.0,Pt. Shalita Citra Mandiri,8,0.9201329512387948,5,2,3,23.022413403510637,22.939176296355495,-795929750.0,4,4,1,1146219250.0,0
127,Jakarta,2015,ocds-data-tender-2015-127.json,2015-05-22,Pemerintah Daerah Provinsi Dki Jakarta,Festival Jakarta Great Sale (Fjgs),Services,2489683625.0,2015-05-15,Complete,Festival Jakarta Great Sale (Fjgs),2015-05-22,1964098290.0,Pt. Lensa Globalindo,7,0.7888947295462089,5,2,4,21.63542148151917,21.39829909196042,-525585335.0,5,5,1,280585470.0,0
